"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1500000US060371112013","Block Group 3; Census Tract 1112.01; Los Angeles County; California","-","**",
"1500000US060371112021","Block Group 1; Census Tract 1112.02; Los Angeles County; California","2716","149",
"1500000US060371112022","Block Group 2; Census Tract 1112.02; Los Angeles County; California","2274","516",
"1500000US060371112023","Block Group 3; Census Tract 1112.02; Los Angeles County; California","2681","444",
"1500000US060371112041","Block Group 1; Census Tract 1112.04; Los Angeles County; California","-","**",
"1500000US060371112042","Block Group 2; Census Tract 1112.04; Los Angeles County; California","3,500+","***",
"1500000US060371112043","Block Group 3; Census Tract 1112.04; Los Angeles County; California","3,500+","***",
"1500000US060371112051","Block Group 1; Census Tract 1112.05; Los Angeles County; California","2761","433",
"1500000US060371112052","Block Group 2; Census Tract 1112.05; Los Angeles County; California","3,500+","***",
"1500000US060371112053","Block Group 3; Census Tract 1112.05; Los Angeles County; California","1904","432",
"1500000US060371112061","Block Group 1; Census Tract 1112.06; Los Angeles County; California","-","**",
"1500000US060371112062","Block Group 2; Census Tract 1112.06; Los Angeles County; California","-","**",
"1500000US060371112063","Block Group 3; Census Tract 1112.06; Los Angeles County; California","-","**",
"1500000US060371112064","Block Group 4; Census Tract 1112.06; Los Angeles County; California","-","**",
"1500000US060371112065","Block Group 5; Census Tract 1112.06; Los Angeles County; California","-","**",
"1500000US060371113021","Block Group 1; Census Tract 1113.02; Los Angeles County; California","1832","1118",
"1500000US060371113022","Block Group 2; Census Tract 1113.02; Los Angeles County; California","1866","133",
"1500000US060371113023","Block Group 3; Census Tract 1113.02; Los Angeles County; California","2699","413",
"1500000US060371113024","Block Group 4; Census Tract 1113.02; Los Angeles County; California","1919","279",
"1500000US060371113031","Block Group 1; Census Tract 1113.03; Los Angeles County; California","2623","512",
"1500000US060371113032","Block Group 2; Census Tract 1113.03; Los Angeles County; California","2119","971",
"1500000US060371113041","Block Group 1; Census Tract 1113.04; Los Angeles County; California","1470","303",
